original_san_list,updated_san_list
2,4
2,5
7,11
2,2
2,2
2,2
3,15
1,2
2,19
2,14
0,0
68,68
1,78
2,6
14,14
2,8
3,3
2,3
1,2
3,7
2,2
3,3
3,7
2,2
3,3
2,4
2,2
2,2
2,82
42,42
2,2
2,372
2,2
3,7
2,6
2,5
2,2
0,0
2,2
2,2
22,68
3,3
2,2
4,8
2,2
3,3
0,0
1,5
2,2
6,6
3,3
19,19
3,3
2,2
36,36
3,3
2,6
97,98
1,1
20,20
2,2
2,2
2,154
2,2
3,5
2,3
2,2
9,9
2,2
2,4
6,38
2,10
2,4
2,2
2,2
22,22
2,2
2,2
2,3
219,228
3,5
2,2
3,4
46,54
3,7
51,53
3,7
2,61
2,5
2,2
6,6
16,16
2,2
2,2
4,43
8,16
6,12
2,3
3,4
3,3
3,3
3,3
76,76
2,6
40,40
2,2
2,2
2,4
0,0
98,98
3,3
101,105
18,66
3,5
2,2
1,2
2,2
2,2
2,4
6,6
4,4
2,33
3,7
2,2
3,5
2,2
2,2
2,2
1,3
0,0
1,9
3,3
48,50
2,2
1,2
2,2
2,2
3,5
3,3
2,11
2,16
0,0
3,7
0,0
2,2
0,0
2,2
16,18
2,2
9,9
2,15
2,2
3,3
3,11
2,2
2,2
3,6
2,26
2,10
2,10
2,2
1,2
3,3
3,4
1,2
9,11
1,1
2,2
0,0
42,42
2,13
3,9
0,0
5,5
3,3
4,4
4,14
4,10
2,15
1,2
2,4
3,3
3,3
3,5
2,6
2,2
2,2
2,10
2,2
10,19
2,23
2,2
2,2
2,2
0,0
3,3
7,7
2,2
3,7
2,2
3,5
3,4
2,2
2,2
2,2
1,1
3,3
2,3
1,1
20,20
3,3
3,4
2,3
0,0
2,2
3,3
3,3
2,98
2,2
0,0
2,10
1,2
1,2
2,2
2,2
0,0
2,10
2,2
2,2
3,3
3,5
2,2
2,2
2,6
5,14
2,2
3,6
2,2
2,2
0,0
2,2
2,3
2,2
93,132
1,4
2,2
2,2
3,3
2,8
2,2
1,1
2,2
2,14
0,0
2,44
2,2
3,11
2,2
4,5
3,10
2,2
1,27
2,2
8,8
7,7
14,28
0,0
3,13
20,20
3,3
2,2
1,2
3,3
1,7
2,5
46,50
3,69
100,109
2,5
40,40
1,10
3,3
2,8
2,2
0,0
2,6
7,7
2,2
2,3
2,2
149,150
10,10
2,40
3,3
3,5
3,8
3,5
42,125
2,4
0,0
2,2
2,6
3,3
6,35
8,21
2,2
2,2
2,80
96,96
2,4
1,2
2,2
1,22
2,2
1,8
4,4
2,2
3,24
19,26
3,3
2,4
2,2
2,111
1,1
15,52
2,2
21,32
46,96
2,2
2,8
2,2
3,7
3,5
2,2
2,2
3,13
1,25
2,6
102,150
3,3
2,2
2,2
76,79
2,2
3,3
3,12
2,2
8,8
70,80
13,13
3,3
3,8
6,6
2,3
2,2
2,5
2,13
406,417
2,4
0,0
3,3
2,4
2,2
3,3
2,2
2,2
3,14
3,7
2,2
3,3
3,3
2,4
16,16
3,8
22,23
2,111
1,1
2,2
2,2
93,371
0,0
2,2
2,3
3,3
2,2
3,3
2,4
2,4
4,4
2,2
0,0
2,2
3,3
10,12
1,2
100,100
2,7
3,6
2,2
2,4
2,2
1,1
3,4
2,10
100,100
2,15
6,6
17,17
3,3
2,2
8,10
67,140
3,3
56,56
0,0
6,6
3,4
3,3
2,2
3,3
2,2
0,0
2,2
3,4
2,2
3,10
4,8
2,3
3,19
2,80
3,3
2,2
1,1
1,1
3,3
2,3
2,3
9,11
2,2
5,7
2,3
9,14
2,5
2,2
1,6
2,2
3,3
2,2
2,2
2,2
0,0
3,3
2,2
3,9
1,6
33,33
9,9
18,18
3,3
2,2
3,13
2,4
3,3
2,2
2,2
2,2
3,3
0,0
27,27
2,6
3,4
3,6
3,3
2,8
3,5
2,126
2,2
3,3
0,0
3,5
2,8
12,12
2,2
3,11
14,33
2,2
2,2
3,4
3,3
58,58
2,13
14,14
2,2
1,16
3,3
6,6
9,18
2,2
1,4
24,24
3,9
2,2
12,12
2,7
1,4
3,3
3,5
22,22
3,3
1,1
2,2
1,1
5,82
88,188
3,17
8,8
10,10
2,2
2,6
23,23
1,2
2,4
2,2
2,10
2,2
8,15
2,2
2,2
16,16
2,2
2,5
4,12
1,40
3,3
3,5
2,2
2,6
1,1
11,22
2,2
3,10
2,2
3,3
2,2
3,3
0,0
3,3
2,6
2,7
3,3
8,94
2,2
2,4
1,10
2,4
3,6
3,3
3,7
3,23
3,3
2,2
3,29
7,7
2,14
3,3
2,2
26,26
3,3
2,27
2,2
3,5
2,3
5,5
3,3
3,4
3,3
2,2
34,35
2,2
106,202
3,5
0,0
2,2
19,19
1,17
3,3
3,3
2,6
5,5
2,5
2,2
12,23
3,17
0,0
2,7
2,2
3,3
19,19
1,2
2,2
3,3
2,11
1,3
1,1
2,13
4,4
1,1
2,6
2,2
2,10
1,11
2,17
2,2
2,2
2,4
0,0
4,9
2,2
2,2
3,3
17,17
2,4
2,2
3,3
2,4
3,3
1,4
3,3
2,2
1,1
2,2
9,9
7,10
4,7
130,130
2,3
3,6
3,5
3,3
2,2
3,3
3,3
23,26
1,3
2,2
8,8
2,7
2,10
2,2
2,2
3,3
2,2
2,4
6,13
3,3
2,21
1,4
1,2
0,0
2,2
2,2
2,4
2,9
1,4
2,2
3,7
2,10
2,6
6,37
2,2
3,5
2,2
1,2
2,2
100,100
2,4
2,2
4,4
2,2
3,3
3,3
5,5
2,2
2,2
2,2
2,2
3,6
2,4
2,14
2,2
2,6
0,0
2,2
3,3
3,3
2,9
4,4
0,0
2,2
3,5
2,2
2,6
2,2
2,2
19,19
2,2
2,2
1,3
3,3
100,100
5,5
1,9
2,2
2,2
2,2
9,11
2,2
3,5
1,1
2,2
3,6
1,2
2,2
2,2
2,6
2,3
3,3
2,2
2,2
3,4
100,100
2,7
3,3
2,164
3,7
16,17
2,2
2,2
2,4
1,3
25,25
4,24
6,6
3,15
2,2
2,10
3,3
3,3
3,9
3,3
2,2
3,3
2,2
3,3
8,8
2,4
3,9
3,3
2,2
115,265
3,3
147,147
2,2
2,2
2,5
3,3
3,3
2,55
2,4
3,10
2,2
3,3
3,15
2,5
3,33
2,4
2,2
3,5
2,2
0,0
0,0
74,74
2,3
3,5
2,4
4,4
2,2
3,3
2,2
0,0
88,347
2,2
15,15
138,263
2,2
3,3
2,4
4,9
2,3
5,5
2,2
793,796
2,2
32,32
44,47
1,1
3,5
3,45
89,95
3,3
3,3
2,2
2,2
2,2
13,16
1,1
2,2
2,2
7,7
3,7
96,98
1,3
2,2
2,2
0,0
3,3
2,2
37,112
0,0
2,14
2,2
3,9
3,5
2,2
3,3
2,4
3,3
2,4
4,4
3,3
4,22
2,2
2,3
3,5
2,2
3,6
52,156
2,2
3,5
2,2
2,2
3,3
2,67
2,2
3,7
2,2
2,2
2,2
1,1
0,0
2,2
2,3
2,6
8,8
4,6
1,1
3,5
3,3
0,0
3,3
48,73
0,0
1,2
2,2
3,3
2,2
3,5
1,1
2,4
2,2
2,2
2,2
10,12
2,7
2,8
2,2
2,2
3,5
4,6
2,2
2,2
2,2
2,7
3,9
2,2
2,2
3,6
0,0
1,5
3,3
1,6
8,8
2,3
1,1
2,2
3,5
3,3
2,2
2,27
3,7
1,1
3,6
2,16
4,4
2,2
2,2
3,3
2,2
9,9
4,6
3,3
1,6
10,10
2,12
2,2
4,5
2,2
2,82
3,3
2,2
2,16
3,5
2,2
3,3
3,3
2,8
139,216
3,5
5,5
2,2
2,4
5,6
2,4
3,5
6,34
2,2
3,11
23,24
0,0
2,3
3,3
2,2
1,1
2,4
98,98
3,3
1,74
3,3
0,0
406,417
3,3
26,30
2,2
3,5
3,10
95,95
3,3
1,1
3,3
3,4
2,2
2,82
3,3
0,0
2,2
3,3
3,8
1,40
2,2
2,2
4,5
2,2
3,3
120,120
2,2
14,19
58,58
2,58
1,2
2,4
2,2
3,3
2,2
3,6
3,3
26,31
2,2
3,3
1,6
2,3
0,0
349,472
8,16
2,2
4,6
50,50
2,2
4,4
17,17
3,3
3,3
0,0
3,7
3,3
3,3
2,12
3,12
2,4
2,10
100,100
2,2
2,4
3,3
1,2
2,2
26,28
3,3
2,10
2,4
2,2
2,2
2,2
28,156
0,0
3,7
2,2
2,2
96,96
2,2
9,9
2,2
3,3
2,2
2,4
6,12
2,2
2,2
2,2
1,1
2,4
4,4
9,18
3,3
2,70
22,22
2,2
1,6
2,9
3,3
8,8
3,5
3,3
315,443
11,11
2,2
2,2
0,0
1,1
2,2
2,2
63,63
2,5
3,3
2,4
2,3
1,1
2,4
4,5
3,3
3,3
1,1
2,2
2,2
2,2
1,2
3,5
3,6
3,3
3,3
2,2
3,3
0,0
2,4
3,3
3,3
1,1
2,2
77,77
2,2
3,3
1,3
40,40
1,10
2,50
10,10
1,2
17,21
1,2
24,24
3,3
2,2
16,34
2,4
3,5
1,1
3,3
3,30
0,0
2,4
7,7
21,23
107,107
3,3
34,77
1,3
1,1
3,4
13,33
3,8
4,4
2,2
2,5
3,6
9,9
3,3
3,5
0,0
3,4
4,4
5,9
2,2
2,7
2,4
0,0
2,2
2,2
2,2
3,5
2,2
9,9
2,4
2,2
2,2
2,2
1,25
3,4
2,2
3,5
2,10
3,9
3,6
2,5
2,3
2,2
2,2
2,2
3,3
3,5
8,8
3,3
2,4
2,3
2,2
3,4
58,91
3,3
2,2
2,2
27,27
3,3
3,3
1,2
3,3
56,56
1,2
0,0
0,0
11,14
1,4
3,5
3,5
2,4
14,25
2,2
2,4
2,2
2,2
0,0
2,4
4,8
2,3
2,2
2,16
5,52
1,1
2,2
3,5
2,6
2,4
2,7
2,112
0,0
0,0
3,3
6,15
4,4
2,2
3,8
2,2
2,10
54,54
2,7
3,3
40,853
1,6
0,0
3,7
2,4
2,4
4,4
2,25
2,2
1,1
2,2
7,41
0,0
52,156
9,9
1,3
0,0
2,2
2,2
2,6
1,6
2,2
47,47
0,0
2,2
2,2
0,0
2,4
3,3
2,4
3,3
30,32
11,11
0,0
2,2
2,4
2,2
3,35
1,44
77,112
2,8
4,4
3,21
94,109
2,2
2,2
1,10
3,3
2,2
3,3
2,3
3,7
2,2
2,2
4,6
2,4
32,32
3,11
10,10
2,4
3,3
0,0
2,2
8,8
2,4
2,16
2,2
100,200
41,41
3,3
3,3
1,7
1,4
2,9
2,2
0,0
0,0
2,2
2,17
2,6
2,2
0,0
0,0
2,3
3,6
3,3
3,7
2,2
3,7
9,9
5,5
2,10
1,2
2,2
2,2
2,3
406,417
2,2
2,6
2,2
2,6
57,57
3,5
3,3
0,0
1,22
2,8
1,1
3,5
2,4
0,0
2,2
2,2
2,4
2,2
3,3
2,6
2,80
3,4
3,3
2,2
8,8
2,3
0,0
8,8
23,102
3,3
2,9
3,3
2,2
4,16
1,1
3,3
2,2
3,10
2,2
7,8
2,2
3,3
3,3
84,87
9,9
70,149
3,12
2,2
2,57
3,3
3,7
3,3
4,4
17,22
2,4
3,4
35,37
2,148
2,14
12,37
4,4
2,2
2,4
3,4
2,3
1,2
2,3
6,6
1,2
2,2
3,5
3,3
3,3
60,60
3,3
2,6
123,159
2,2
1,4
15,15
2,2
2,3
3,3
129,236
7,7
3,11
103,128
2,4
2,2
2,2
8,8
3,3
12,22
3,3
1,2
3,23
1,1
2,2
13,19
2,2
2,2
2,2
4,5
10,30
0,0
3,3
2,2
3,3
22,22
66,77
3,8
3,3
2,2
3,3
2,2
2,2
2,4
2,2
3,3
29,29
10,20
1,5
3,5
2,2
2,2
1,11
2,2
2,2
3,5
2,8
3,5
2,4
2,2
2,2
3,3
11,11
2,24
2,7
2,2
31,31
3,3
7,7
5,5
0,0
9,9
3,11
2,2
2,2
20,20
51,51
2,20
3,3
2,22
3,5
2,19
2,14
2,4
6,8
2,2
2,2
2,3
0,0
3,7
2,2
1,5
1,1
2,2
2,2
5,5
2,2
2,4
2,2
2,7
3,5
20,20
3,5
2,3
17,17
3,3
3,11
0,0
1,3
1,1
0,0
3,3
2,10
2,2
3,6
3,3
2,2
2,5
2,9
0,0
11,13
2,13
2,6
2,38
4,4
3,10
3,4
21,32
8,10
2,4
2,2
2,4
1,1
2,37
3,3
2,4
3,3
6,6
4,13
6,6
1,1
15,17
3,3
2,13
1,14
3,3
2,3
1,4
15,15
2,2
3,3
2,2
3,6
100,100
1,2
3,12
4,6
2,2
2,2
2,2
3,4
3,3
2,2
3,3
2,2
2,2
2,5
2,4
2,2
2,2
1,2
2,2
2,8
2,2
2,2
2,82
2,2
150,150
4,4
7,7
2,2
2,10
4,11
2,4
3,5
3,3
2,29
3,5
84,84
2,21
3,3
11,11
2,2
3,12
5,5
2,2
406,417
10,11
8,8
24,24
9,9
1,2
3,3
2,4
3,3
8,16
2,2
3,12
3,4
2,2
8,8
107,107
2,2
13,13
2,2
2,2
0,0
6,8
1,2
3,13
0,0
3,9
3,5
3,7
3,6
3,5
1,2
3,7
2,13
28,28
2,4
9,9
2,2
1,17
3,3
2,2
2,2
2,2
1,3
0,0
2,4
3,3
100,109
3,3
2,4
2,2
0,0
3,8
1,3
2,2
11,11
5,5
3,12
2,2
8,8
3,10
191,513
1,2
2,3
3,3
6,7
0,0
6,7
2,9
2,11
0,0
2,2
2,4
1,3
2,7
3,7
3,3
2,2
1,1
150,150
2,5
6,6
11,13
3,11
3,7
9,16
4,4
2,2
2,4
3,5
2,4
2,4
2,2
2,2
3,3
28,28
3,3
3,5
3,3
3,3
12,13
3,3
2,2
1,3
0,0
81,205
8,8
9,12
3,3
2,2
1,4
2,3
2,3
96,173
2,2
3,5
3,11
2,2
3,5
3,3
20,23
2,2
2,2
4,4
13,13
7,7
2,2
1,1
2,2
2,3
2,4
3,5
5,5
2,2
2,10
3,3
0,0
150,164
2,4
2,7
1,5
2,2
2,5
0,0
2,2
2,2
2,2
2,6
9,9
6,13
3,7
1,2
3,3
2,4
2,2
3,7
0,0
3,7
3,3
4,4
2,5
3,5
19,19
3,5
2,6
2,2
1,2
2,19
8,29
3,3
2,2
2,2
4,4
2,2
2,2
2,2
2,2
3,5
2,19
0,0
2,2
3,24
2,2
2,2
2,3
100,107
2,28
2,2
8,8
19,19
3,3
0,0
4,4
18,30
0,0
3,3
3,3
3,10
3,11
7,7
2,4
2,2
38,80
2,2
8,8
2,2
2,2
2,2
2,2
3,3
3,3
3,4
2,2
3,3
2,10
3,4
2,2
4,14
3,4
3,3
0,0
7,7
2,4
11,11
16,16
9,9
2,2
2,2
100,104
3,3
2,2
2,2
47,53
2,4
2,2
8,8
3,3
3,3
1,1
3,3
3,4
5,5
3,9
60,60
2,2
2,2
2,2
2,2
2,2
9,11
2,2
0,0
9,9
3,3
2,2
1,5
2,8
2,2
2,2
3,8
2,2
3,9
3,7
0,0
2,28
6,15
2,2
2,4
3,7
2,6
2,82
2,2
3,5
2,6
3,5
4,6
0,0
2,18
57,59
2,2
2,4
2,2
2,4
3,3
2,6
0,0
3,3
2,13
2,3
3,6
2,2
2,2
3,3
0,0
3,3
3,5
2,2
2,2
2,2
2,4
3,9
2,2
2,2
2,2
3,5
4,4
46,54
1,2
30,122
3,3
2,2
2,2
20,25
3,5
2,10
2,6
24,24
4,9
3,3
2,2
2,2
4,5
2,4
1,4
14,14
2,2
2,6
2,2
3,3
2,2
2,2
2,5
1,1
2,2
100,100
3,5
2,2
2,8
3,6
10,10
2,2
2,2
3,3
2,6
3,3
8,8
2,2
1,1
1,6
2,2
3,9
3,6
2,2
2,2
2,2
3,6
2,4
3,5
2,2
3,3
3,5
2,2
3,3
3,3
2,58
2,4
3,12
3,3
0,0
