original_san_list,updated_san_list,mapped_san_additions
2,4,2
2,5,3
7,11,4
2,2,0
2,2,0
2,2,0
3,15,12
1,2,1
2,19,17
2,14,12
0,0,0
68,68,0
1,78,77
2,6,4
14,14,0
2,8,6
3,3,0
2,3,1
1,2,1
3,7,4
2,2,0
3,3,0
3,7,4
2,2,0
3,3,0
2,4,2
2,2,0
2,2,0
2,82,80
42,42,0
2,2,0
2,372,370
2,2,0
3,7,4
2,6,4
2,5,3
2,2,0
0,0,0
2,2,0
2,2,0
22,68,46
3,3,0
2,2,0
4,8,4
2,2,0
3,3,0
0,0,0
1,5,4
2,2,0
6,6,0
3,3,0
19,19,0
3,3,0
2,2,0
36,36,0
3,3,0
2,6,4
97,98,1
1,1,0
20,20,0
2,2,0
2,2,0
2,154,152
2,2,0
3,5,2
2,3,1
2,2,0
9,9,0
2,2,0
2,4,2
6,38,32
2,10,8
2,4,2
2,2,0
2,2,0
22,22,0
2,2,0
2,2,0
2,3,1
219,228,9
3,5,2
2,2,0
3,4,1
46,54,8
3,7,4
51,53,2
3,7,4
2,61,59
2,5,3
2,2,0
6,6,0
16,16,0
2,2,0
2,2,0
4,43,39
8,16,8
6,12,6
2,3,1
3,4,1
3,3,0
3,3,0
3,3,0
76,76,0
2,6,4
40,40,0
2,2,0
2,2,0
2,4,2
0,0,0
98,98,0
3,3,0
101,105,4
18,66,48
3,5,2
2,2,0
1,2,1
2,2,0
2,2,0
2,4,2
6,6,0
4,4,0
2,33,31
3,7,4
2,2,0
3,5,2
2,2,0
2,2,0
2,2,0
1,3,2
0,0,0
1,9,8
3,3,0
48,50,2
2,2,0
1,2,1
2,2,0
2,2,0
3,5,2
3,3,0
2,11,9
2,16,14
0,0,0
3,7,4
0,0,0
2,2,0
0,0,0
2,2,0
16,18,2
2,2,0
9,9,0
2,15,13
2,2,0
3,3,0
3,11,8
2,2,0
2,2,0
3,6,3
2,26,24
2,10,8
2,10,8
2,2,0
1,2,1
3,3,0
3,4,1
1,2,1
9,11,2
1,1,0
2,2,0
0,0,0
42,42,0
2,13,11
3,9,6
0,0,0
5,5,0
3,3,0
4,4,0
4,14,10
4,10,6
2,15,13
1,2,1
2,4,2
3,3,0
3,3,0
3,5,2
2,6,4
2,2,0
2,2,0
2,10,8
2,2,0
10,19,9
2,23,21
2,2,0
2,2,0
2,2,0
0,0,0
3,3,0
7,7,0
2,2,0
3,7,4
2,2,0
3,5,2
3,4,1
2,2,0
2,2,0
2,2,0
1,1,0
3,3,0
2,3,1
1,1,0
20,20,0
3,3,0
3,4,1
2,3,1
0,0,0
2,2,0
3,3,0
3,3,0
2,98,96
2,2,0
0,0,0
2,10,8
1,2,1
1,2,1
2,2,0
2,2,0
0,0,0
2,10,8
2,2,0
2,2,0
3,3,0
3,5,2
2,2,0
2,2,0
2,6,4
5,14,9
2,2,0
3,6,3
2,2,0
2,2,0
0,0,0
2,2,0
2,3,1
2,2,0
93,132,39
1,4,3
2,2,0
2,2,0
3,3,0
2,8,6
2,2,0
1,1,0
2,2,0
2,14,12
0,0,0
2,44,42
2,2,0
3,11,8
2,2,0
4,5,1
3,10,7
2,2,0
1,27,26
2,2,0
8,8,0
7,7,0
14,28,14
0,0,0
3,13,10
20,20,0
3,3,0
2,2,0
1,2,1
3,3,0
1,7,6
2,5,3
46,50,4
3,69,66
100,109,9
2,5,3
40,40,0
1,10,9
3,3,0
2,8,6
2,2,0
0,0,0
2,6,4
7,7,0
2,2,0
2,3,1
2,2,0
149,150,1
10,10,0
2,40,38
3,3,0
3,5,2
3,8,5
3,5,2
42,125,83
2,4,2
0,0,0
2,2,0
2,6,4
3,3,0
6,35,29
8,21,13
2,2,0
2,2,0
2,80,78
96,96,0
2,4,2
1,2,1
2,2,0
1,22,21
2,2,0
1,8,7
4,4,0
2,2,0
3,24,21
19,26,7
3,3,0
2,4,2
2,2,0
2,111,109
1,1,0
15,52,37
2,2,0
21,32,11
46,96,50
2,2,0
2,8,6
2,2,0
3,7,4
3,5,2
2,2,0
2,2,0
3,13,10
1,25,24
2,6,4
102,150,48
3,3,0
2,2,0
2,2,0
76,79,3
