Mode,Time
Experiment,1625.0
Control,3523.0
Experiment,2094.0
Experiment,6010.0
Experiment,582.0
Control,1254.0
Control,2772.0
Control,2469.0
Experiment,1332.0
Experiment,257.0
Control,2535.0
Experiment,8907.0
Experiment,2285.0
Experiment,3175.0
Control,4463.0
Experiment,858.0
Experiment,3533.0
Experiment,2072.0
,
Experiment,1620.0
Control,4440.0
Experiment,1267.0
,
Experiment,719.0
Experiment,6538.0
Control,3466.0
Control,3216.0
Control,3692.0
Control,1837.0
,
Control,2318.0
Control,1378.0
Control,2105.0
Control,4290.0
Experiment,3498.0
Control,4403.0
Experiment,178.0
Experiment,2510.0
Experiment,827.0
Control,1207.0
Experiment,2965.0
Control,6531.0
Control,4963.0
Control,1601.0
Experiment,1918.0
Control,1011.0
Control,1864.0
,
Control,3854.0
Control,1671.0
Experiment,3467.0
Control,1629.0
Experiment,5144.0
Control,3576.0
Experiment,2599.0
Experiment,1214.0
Control,2306.0
Control,5252.0
Experiment,1237.0
Control,2051.0
Experiment,2999.0
Control,2785.0
Control,4330.0
Control,173.0
Experiment,1581.0
Experiment,4404.0
Experiment,946.0
Control,758.0
Experiment,3244.0
Experiment,4897.0
Experiment,1964.0
Experiment,2485.0
,
Experiment,1414.0
Experiment,1542.0
Control,342.0
Experiment,4160.0
Experiment,1355.0
Control,2022.0
Experiment,2069.0
Experiment,1879.0
Control,1436.0
Control,3191.0
,
Experiment,738.0
Experiment,4057.0
Experiment,2234.0
Experiment,4735.0
Experiment,2955.0
Control,1585.0
Control,5102.0
,
,
Experiment,1326.0
Control,3266.0
Experiment,2938.0
Experiment,2043.0
Control,4876.0
Experiment,1416.0
Control,1854.0
Experiment,1981.0
Experiment,3744.0
Experiment,1998.0
Control,1098.0
Experiment,2130.0
Control,3366.0
Experiment,3805.0
Experiment,12381.0
Control,4055.0
Experiment,772.0
Control,4122.0
Experiment,15733.0
Experiment,831.0
Experiment,5184.0
Control,2226.0
Control,3832.0
Experiment,3434.0
Control,2971.0
Control,3321.0
Control,3709.0
Experiment,4202.0
Control,1565.0
Control,4916.0
Control,2409.0
Control,2163.0
Experiment,3945.0
,
Control,5275.0
Control,4710.0
Control,336.0
Experiment,880.0
Experiment,2120.0
Control,2618.0
Experiment,3233.0
Experiment,4713.0
Experiment,4150.0
Control,2798.0
Experiment,4908.0
Control,5469.0
Control,2799.0
Experiment,1770.0
Experiment,2165.0
Experiment,7271.0
Control,6085.0
Experiment,2478.0
Experiment,6042.0
Experiment,5774.0
Experiment,1745.0
Experiment,4165.0
Control,1666.0
Experiment,4849.0
Control,2461.0
Experiment,6224.0
Experiment,2073.0
Control,967.0
Control,3214.0
Control,3815.0
Control,3113.0
Control,1171.0
Experiment,2107.0
Control,204.0
Control,2180.0
Control,2763.0
Experiment,1500.0
Control,2208.0
Control,2930.0
Experiment,2574.0
Experiment,1668.0
Experiment,2039.0
Control,2177.0
Control,3034.0
Experiment,3547.0
Control,1199.0
Control,4262.0
Experiment,1512.0
Control,1993.0
Experiment,3437.0
Control,1363.0
Experiment,2163.0
Control,1068.0
,
Control,6803.0
Control,6412.0
Control,1401.0
Experiment,1028.0
Control,2511.0
Control,3622.0
Experiment,3059.0
Control,5976.0
Experiment,1983.0
Experiment,1902.0
Control,2800.0
Control,2910.0
Control,1653.0
Experiment,1870.0
Control,1888.0
Control,4380.0
Control,3136.0
Control,3655.0
Experiment,4063.0
Control,1452.0
Experiment,1588.0
Control,1454.0
Control,576.0
Control,1871.0
Experiment,4469.0
Control,2129.0
Control,5029.0
Control,2540.0
Experiment,2529.0
Experiment,511.0
Control,2409.0
Control,1524.0
Control,417.0
Control,2459.0
Control,3662.0
Control,3839.0
Experiment,3888.0
Experiment,1464.0
Experiment,768.0
Experiment,1147.0
Experiment,1863.0
Control,1692.0
Control,3011.0
Experiment,2188.0
Control,1615.0
Control,207.0
Experiment,960.0
Experiment,484.0
Experiment,1912.0
Experiment,2306.0
Experiment,4476.0
Control,3140.0
Control,347.0
Control,4255.0
