CDNJS-Coalesced,CDNJS-Not-Coalesced,Total-TLS,Type
2,0,15,Experiment
1,1,28,Experiment
15,0,26,Experiment
3,0,3,Experiment
0,1,7,Experiment
5,0,13,Experiment
3,0,17,Experiment
0,1,31,Experiment
3,0,76,Experiment
2,0,15,Experiment
2,0,8,Experiment
1,0,7,Experiment
4,0,38,Experiment
7,0,8,Experiment
4,1,23,Experiment
3,1,42,Experiment
10,0,24,Experiment
0,0,2,Experiment
0,1,37,Experiment
2,0,55,Experiment
5,1,10,Experiment
3,0,63,Experiment
3,1,28,Experiment
3,0,9,Experiment
3,0,12,Experiment
10,0,120,Experiment
2,0,9,Experiment
3,0,8,Experiment
1,0,13,Experiment
1,1,10,Experiment
1,0,14,Experiment
5,0,3,Experiment
3,0,23,Experiment
3,1,12,Experiment
6,0,10,Experiment
3,0,13,Experiment
3,0,19,Experiment
4,0,33,Experiment
3,1,94,Experiment
2,0,9,Experiment
1,1,23,Experiment
2,1,11,Experiment
4,0,39,Experiment
0,1,16,Experiment
2,0,10,Experiment
1,4,37,Experiment
1,0,23,Experiment
5,0,15,Experiment
1,1,24,Experiment
2,0,19,Experiment
6,0,8,Experiment
1,0,15,Experiment
1,0,163,Experiment
6,0,131,Experiment
0,1,14,Experiment
3,0,20,Experiment
6,0,31,Experiment
10,0,8,Experiment
1,0,60,Experiment
3,1,38,Experiment
1,1,5,Experiment
2,0,29,Experiment
3,0,109,Experiment
2,0,94,Experiment
4,0,19,Experiment
3,1,27,Experiment
2,0,7,Experiment
3,1,16,Experiment
1,0,218,Experiment
0,1,53,Experiment
2,0,9,Experiment
3,0,209,Experiment
1,0,12,Experiment
0,1,22,Experiment
1,0,13,Experiment
0,0,0,Experiment
7,0,8,Experiment
2,0,82,Experiment
10,1,24,Experiment
2,0,7,Experiment
6,0,12,Experiment
1,1,21,Experiment
5,0,15,Experiment
2,0,21,Experiment
8,1,14,Experiment
2,0,16,Experiment
4,0,3,Experiment
38,0,22,Experiment
3,0,17,Experiment
3,0,6,Experiment
2,0,10,Experiment
1,1,26,Experiment
4,0,223,Experiment
2,0,32,Experiment
2,0,4,Experiment
8,1,3,Experiment
3,0,20,Experiment
2,0,20,Experiment
10,0,33,Experiment
1,0,15,Experiment
19,0,6,Experiment
2,0,4,Experiment
1,1,20,Experiment
1,0,198,Experiment
3,1,11,Experiment
8,0,23,Experiment
5,0,15,Experiment
1,1,56,Experiment
2,0,29,Experiment
21,1,8,Experiment
62,1,22,Experiment
3,1,2,Experiment
2,0,10,Experiment
5,0,17,Experiment
1,1,13,Experiment
0,0,0,Experiment
3,1,52,Experiment
2,0,13,Experiment
4,0,25,Experiment
3,0,9,Experiment
1,1,7,Experiment
2,1,39,Experiment
5,0,26,Experiment
2,0,36,Experiment
3,0,52,Experiment
1,0,4,Experiment
7,0,217,Experiment
2,0,17,Experiment
2,0,23,Experiment
3,1,22,Experiment
38,2,18,Experiment
7,0,38,Experiment
0,0,47,Experiment
0,0,0,Experiment
3,0,6,Experiment
1,0,8,Experiment
6,1,15,Experiment
2,0,6,Experiment
0,1,8,Experiment
2,0,16,Experiment
3,0,18,Experiment
2,0,34,Experiment
9,0,15,Experiment
22,0,3,Experiment
2,0,21,Experiment
5,1,6,Experiment
3,0,5,Experiment
2,0,4,Experiment
2,0,229,Experiment
2,0,19,Experiment
3,0,16,Experiment
1,0,4,Experiment
0,1,30,Experiment
1,1,17,Experiment
5,0,3,Experiment
2,0,21,Experiment
3,0,10,Experiment
1,1,17,Experiment
0,1,4,Experiment
2,0,6,Experiment
2,0,3,Experiment
2,0,5,Experiment
2,1,56,Experiment
19,1,30,Experiment
12,0,12,Experiment
2,0,6,Experiment
3,0,19,Experiment
3,0,22,Experiment
3,0,24,Experiment
3,0,5,Experiment
3,0,9,Experiment
2,0,12,Experiment
3,0,22,Experiment
5,0,35,Experiment
2,0,3,Experiment
9,1,16,Experiment
2,0,18,Experiment
13,1,11,Experiment
4,0,30,Experiment
0,1,371,Experiment
0,1,26,Experiment
7,0,3,Experiment
10,0,6,Experiment
3,0,5,Experiment
7,0,5,Experiment
3,2,24,Experiment
3,0,46,Experiment
1,0,6,Experiment
6,0,4,Experiment
0,0,6,Experiment
0,0,1,Experiment
2,0,8,Experiment
1,0,21,Experiment
2,0,3,Experiment
0,1,12,Experiment
0,0,1,Experiment
1,1,96,Experiment
1,0,20,Experiment
3,1,25,Experiment
5,0,8,Experiment
4,0,13,Experiment
1,0,8,Experiment
2,0,96,Experiment
6,0,9,Experiment
0,1,25,Experiment
3,1,5,Experiment
2,0,13,Experiment
3,0,18,Experiment
2,0,162,Experiment
0,1,38,Experiment
2,0,14,Experiment
0,1,15,Experiment
2,1,14,Experiment
5,0,15,Experiment
2,0,49,Experiment
3,0,5,Experiment
3,1,13,Experiment
3,0,43,Experiment
0,0,10,Experiment
3,0,7,Experiment
6,1,30,Experiment
2,0,16,Experiment
3,0,31,Experiment
5,0,16,Experiment
8,0,16,Experiment
5,0,13,Experiment
6,0,13,Experiment
2,0,6,Experiment
5,0,7,Experiment
5,0,6,Experiment
5,0,80,Experiment
2,0,32,Experiment
2,0,14,Experiment
0,0,0,Experiment
8,1,19,Experiment
2,0,15,Experiment
0,1,86,Experiment
0,0,9,Experiment
1,0,77,Experiment
13,0,20,Experiment
7,1,70,Experiment
3,0,17,Experiment
1,0,8,Experiment
2,0,11,Experiment
3,0,16,Experiment
2,1,10,Experiment
1,1,37,Experiment
4,0,12,Experiment
3,0,27,Experiment
3,0,23,Experiment
0,0,2,Experiment
2,0,11,Experiment
1,1,66,Experiment
9,0,3,Experiment
0,0,0,Experiment
3,0,15,Experiment
4,0,8,Experiment
3,1,14,Experiment
2,0,39,Experiment
2,0,11,Experiment
3,1,8,Experiment
2,0,20,Experiment
0,1,26,Experiment
3,0,35,Experiment
0,1,20,Experiment
2,1,17,Experiment
9,0,38,Experiment
1,0,24,Experiment
0,1,7,Experiment
4,1,11,Experiment
1,1,96,Experiment
2,0,16,Experiment
3,0,61,Experiment
2,0,12,Experiment
2,0,10,Experiment
1,0,3,Experiment
11,0,9,Experiment
2,0,26,Experiment
3,0,20,Experiment
2,1,39,Experiment
1,0,31,Experiment
7,0,33,Experiment
3,0,27,Experiment
16,0,94,Experiment
0,1,17,Experiment
0,1,13,Experiment
0,0,1,Experiment
1,0,46,Experiment
1,0,73,Experiment
8,0,10,Experiment
4,0,7,Experiment
1,1,11,Experiment
9,0,13,Experiment
2,0,39,Experiment
9,1,11,Experiment
0,1,7,Experiment
2,1,9,Experiment
5,1,60,Experiment
5,0,5,Experiment
10,0,112,Experiment
2,0,22,Experiment
0,1,11,Experiment
2,0,32,Experiment
1,0,196,Experiment
1,0,22,Experiment
0,0,15,Experiment
3,0,14,Experiment
2,1,127,Experiment
6,1,69,Experiment
3,0,4,Experiment
2,0,20,Experiment
0,1,19,Experiment
4,0,10,Experiment
3,0,19,Experiment
2,1,45,Experiment
3,0,14,Experiment
2,0,26,Experiment
3,0,20,Experiment
2,0,150,Experiment
1,0,5,Experiment
8,0,16,Experiment
5,1,33,Experiment
0,0,1,Experiment
1,1,68,Experiment
3,0,48,Experiment
3,0,24,Experiment
0,1,26,Experiment
7,0,18,Experiment
5,1,52,Experiment
1,1,90,Experiment
3,0,25,Experiment
4,1,19,Experiment
6,2,24,Experiment
1,0,201,Experiment
18,0,10,Experiment
8,0,19,Experiment
2,0,22,Experiment
5,0,27,Experiment
2,0,13,Experiment
1,0,20,Experiment
1,0,231,Experiment
3,1,27,Experiment
0,0,1,Experiment
0,1,15,Experiment
20,1,38,Experiment
7,0,20,Experiment
2,0,250,Experiment
2,0,9,Experiment
4,0,12,Experiment
2,0,12,Experiment
3,0,15,Experiment
2,0,18,Experiment
6,0,11,Experiment
2,1,6,Experiment
8,1,12,Experiment
1,0,1,Experiment
7,0,59,Experiment
2,0,3,Experiment
2,1,35,Experiment
0,1,4,Experiment
3,0,3,Experiment
6,0,41,Experiment
2,0,19,Experiment
1,0,10,Experiment
5,0,32,Experiment
2,0,77,Experiment
2,1,13,Experiment
3,0,21,Experiment
2,0,4,Experiment
1,0,258,Experiment
1,0,31,Experiment
4,0,18,Experiment
0,1,273,Experiment
2,0,78,Experiment
0,0,8,Experiment
9,0,11,Experiment
2,0,15,Experiment
2,0,15,Experiment
7,1,9,Experiment
0,1,55,Experiment
8,0,2,Experiment
2,0,18,Experiment
3,0,20,Experiment
2,0,31,Experiment
5,0,16,Experiment
1,0,25,Experiment
1,0,24,Experiment
2,0,28,Experiment
4,1,14,Experiment
5,1,3,Experiment
3,0,63,Experiment
2,0,8,Experiment
5,0,7,Experiment
2,0,8,Experiment
2,0,4,Experiment
1,0,11,Experiment
4,0,186,Experiment
16,0,26,Experiment
2,0,7,Experiment
3,0,179,Experiment
2,0,15,Experiment
1,0,25,Experiment
4,0,12,Experiment
2,0,18,Experiment
16,0,16,Experiment
6,0,227,Experiment
3,0,20,Experiment
2,0,10,Experiment
3,0,15,Experiment
2,0,27,Experiment
7,0,6,Experiment
2,1,105,Experiment
0,1,13,Experiment
3,0,19,Experiment
3,0,25,Experiment
0,2,5,Experiment
7,0,17,Experiment
21,7,12,Experiment
1,0,20,Experiment
1,1,19,Experiment
1,1,17,Experiment
4,0,206,Experiment
9,0,39,Experiment
3,0,12,Experiment
5,0,28,Experiment
2,0,84,Experiment
3,1,15,Experiment
3,1,52,Experiment
5,0,75,Experiment
0,1,5,Experiment
4,0,14,Experiment
8,0,2,Experiment
2,0,25,Experiment
