CDNJS-Coalesced,CDNJS-Not-Coalesced,Total-TLS,Type
2,0,16,Experiment
1,1,33,Experiment
15,0,49,Experiment
3,0,3,Experiment
0,1,9,Experiment
5,0,14,Experiment
2,0,15,Experiment
0,1,33,Experiment
3,0,84,Experiment
2,0,11,Experiment
2,0,10,Experiment
1,0,7,Experiment
4,0,34,Experiment
7,0,8,Experiment
4,1,23,Experiment
3,1,41,Experiment
10,0,25,Experiment
1,1,18,Experiment
0,1,34,Experiment
2,0,57,Experiment
6,0,9,Experiment
3,0,75,Experiment
2,1,39,Experiment
3,0,8,Experiment
3,0,12,Experiment
10,0,83,Experiment
2,0,20,Experiment
3,0,11,Experiment
1,0,13,Experiment
1,1,10,Experiment
1,0,15,Experiment
5,0,4,Experiment
3,0,24,Experiment
3,1,11,Experiment
3,0,15,Experiment
3,0,21,Experiment
4,0,34,Experiment
3,1,110,Experiment
2,0,11,Experiment
1,1,27,Experiment
2,1,11,Experiment
5,0,54,Experiment
0,1,17,Experiment
2,0,9,Experiment
4,1,29,Experiment
1,0,26,Experiment
5,0,15,Experiment
1,1,29,Experiment
2,0,20,Experiment
6,0,9,Experiment
1,0,10,Experiment
1,0,166,Experiment
6,0,68,Experiment
0,1,14,Experiment
3,0,28,Experiment
2,1,37,Experiment
10,0,8,Experiment
1,0,57,Experiment
3,1,39,Experiment
1,1,5,Experiment
2,0,25,Experiment
3,0,104,Experiment
2,0,49,Experiment
3,1,18,Experiment
3,1,26,Experiment
2,0,7,Experiment
3,1,23,Experiment
1,0,224,Experiment
0,1,46,Experiment
1,1,10,Experiment
3,0,41,Experiment
1,0,11,Experiment
0,1,23,Experiment
1,0,20,Experiment
9,1,16,Experiment
0,1,4,Experiment
2,0,71,Experiment
2,0,6,Experiment
6,0,11,Experiment
2,0,21,Experiment
5,0,16,Experiment
2,0,22,Experiment
8,1,14,Experiment
2,0,13,Experiment
4,0,3,Experiment
9,0,19,Experiment
3,0,19,Experiment
3,0,4,Experiment
2,0,8,Experiment
1,1,20,Experiment
3,0,35,Experiment
2,0,5,Experiment
8,1,3,Experiment
1,1,16,Experiment
2,0,20,Experiment
10,0,34,Experiment
1,0,16,Experiment
19,0,6,Experiment
2,0,5,Experiment
3,1,40,Experiment
2,0,254,Experiment
3,1,12,Experiment
8,0,22,Experiment
5,0,34,Experiment
1,1,22,Experiment
2,0,30,Experiment
21,1,9,Experiment
3,1,2,Experiment
2,0,11,Experiment
5,0,17,Experiment
1,1,21,Experiment
1,0,3,Experiment
1,1,89,Experiment
2,0,20,Experiment
4,0,24,Experiment
3,0,106,Experiment
1,1,8,Experiment
3,1,47,Experiment
5,0,29,Experiment
2,0,41,Experiment
2,0,145,Experiment
1,0,4,Experiment
7,0,209,Experiment
2,0,33,Experiment
2,0,23,Experiment
4,0,24,Experiment
19,1,8,Experiment
7,0,35,Experiment
0,1,55,Experiment
11,1,17,Experiment
3,0,6,Experiment
1,0,8,Experiment
5,1,13,Experiment
2,0,7,Experiment
0,1,8,Experiment
2,0,17,Experiment
3,0,21,Experiment
1,1,31,Experiment
8,0,15,Experiment
19,1,6,Experiment
2,0,24,Experiment
6,1,6,Experiment
3,0,4,Experiment
2,0,5,Experiment
3,0,134,Experiment
2,0,20,Experiment
3,0,17,Experiment
1,0,5,Experiment
1,1,47,Experiment
1,1,16,Experiment
5,0,4,Experiment
1,1,19,Experiment
2,1,16,Experiment
1,1,13,Experiment
0,1,4,Experiment
2,0,8,Experiment
2,0,5,Experiment
2,0,7,Experiment
2,1,55,Experiment
31,2,49,Experiment
12,0,12,Experiment
1,0,6,Experiment
4,0,18,Experiment
